Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-03,3.4,3.65,3.25,3.52,12344
2022-01-04,3.5,3.5,3.33,3.45,5936
2022-01-05,3.47,3.52,3.3,3.52,8274
2022-01-07,3.495,3.55,3.33,3.4,10544
2022-01-10,3.4,3.5,3.4,3.4,4458
2022-01-11,3.4,3.43,3.35,3.43,1340
2022-01-12,3.39,3.39,3.2,3.35,7273
2022-01-13,3.38,3.46,3.38,3.46,3503
2022-01-14,3.465,3.53,3.45,3.52,7919
2022-01-17,3.5,3.5,3.49,3.5,1924
2022-01-18,3.5,3.5,3.37,3.46,8001
2022-01-20,3.305,3.45,3.215,3.4,7651
2022-01-21,3.3,3.4,3.3,3.4,3138
2022-01-24,3.23,3.4,2.8,2.9,16358
2022-01-25,2.97,3.165,2.96,2.96,2878
2022-01-26,2.95,3.15,2.95,3.135,3955
2022-01-27,3.135,3.42,3.07,3.14,13020
2022-01-28,3.25,3.25,2.77,2.88,45751
2022-01-31,2.9,2.95,2.8,2.95,6231
2022-02-01,2.95,3,2.84,3,6500
2022-02-02,3.015,3.05,3.015,3.05,1301
2022-02-03,3,3.05,3,3.05,1900
2022-02-04,3.05,3.05,3.045,3.045,18
2022-02-07,3.05,3.05,2.81,2.94,2041
2022-02-08,2.94,3.03,2.94,3.03,4638
2022-02-09,2.96,2.96,2.96,2.96,202
2022-02-10,3,3,2.9,2.9,1272
2022-02-11,2.86,2.99,2.81,2.98,2772
2022-02-14,2.81,2.81,2.525,2.695,38992
2022-02-15,2.695,2.72,2.56,2.6,8059
2022-02-16,2.58,2.7,2.15,2.38,139627
2022-02-17,2.38,2.38,2.2,2.27,20577
2022-02-18,2.26,2.3,2.26,2.3,3715
2022-02-21,2.33,2.33,2.045,2.23,14400
2022-02-22,2.04,2.25,2.04,2.25,14889
2022-02-23,2.27,2.33,2.21,2.21,10436
2022-02-24,2.15,2.15,1.75,1.89,29151
2022-02-25,1.89,1.986,1.704,1.9,20267
2022-02-28,1.9,1.95,1.712,1.91,17325
2022-03-01,1.864,1.864,1.7,1.8,13405
2022-03-02,1.72,1.72,1.652,1.7,17867
2022-03-03,1.66,1.77,1.61,1.71,8755
2022-03-04,1.75,1.75,1.68,1.7,4894
2022-03-07,1.65,1.73,1.61,1.73,12459
2022-03-08,1.74,1.74,1.64,1.71,3729
2022-03-09,1.712,1.83,1.702,1.83,10867
2022-03-10,1.832,1.96,1.832,1.94,7023
2022-03-11,2,2.3,1.99,2.16,20959
2022-03-14,2.22,2.395,2.22,2.29,15749
2022-03-15,2.29,2.29,2.11,2.12,4449
2022-03-16,2.15,2.2,2.08,2.08,3667
2022-03-17,2.08,2.24,2.08,2.2,1820
2022-03-18,2.2,2.26,2.2,2.26,5010
2022-03-21,2.24,2.24,2.24,2.24,2
2022-03-22,2.22,2.22,2.1,2.18,5148
2022-03-23,2.18,2.18,1.98,2.09,3481
2022-03-24,2.02,2.06,2.01,2.01,15740
2022-03-25,2.03,2.1,2.01,2.1,1310
2022-03-28,2.12,2.15,1.912,1.998,6918
2022-03-29,1.998,2.16,1.96,2.16,3561
2022-03-30,2.06,2.1,2,2.1,8750
2022-03-31,2.1,2.1,1.9,1.99,12751
2022-04-01,2.04,2.05,2.04,2.05,600
2022-04-04,2.05,2.14,2.05,2.1,6494
2022-04-05,2.1,2.1,1.948,2.06,2409
2022-04-06,2,2.14,2,2,2720
2022-04-07,2.01,2.28,2.01,2.2,8392
2022-04-08,2.27,2.73,2.26,2.38,67230
2022-04-11,2.36,2.36,2.12,2.3,14141
2022-04-12,2.3,2.36,2.3,2.36,245
2022-04-13,2.38,2.44,2.28,2.42,959
2022-04-14,2.42,2.42,2.22,2.3,18590
2022-04-19,2.26,2.29,2.17,2.27,9933
2022-04-20,2.28,2.28,1.92,1.95,13953
2022-04-21,2,2.02,1.98,1.98,12326
2022-04-22,2,2.05,1.95,2.05,5741
2022-04-25,1.95,2.06,1.95,2.01,2545
2022-04-26,2,2.05,2,2,6110
2022-04-27,2.04,2.04,1.955,2.01,1364
2022-04-28,2.02,2.02,1.84,1.955,12761
2022-04-29,1.955,2.02,1.89,1.89,3198
2022-05-02,2.02,2.02,2.02,2.02,100
2022-05-04,2.01,2.01,1.78,1.87,17135
2022-05-05,1.87,1.93,1.87,1.93,2960
2022-05-06,1.915,1.915,1.915,1.915,200
2022-05-09,1.905,1.905,1.735,1.745,8039
2022-05-10,1.83,1.83,1.72,1.815,6943
2022-05-11,1.73,1.79,1.725,1.74,6154
2022-05-12,1.78,1.79,1.74,1.74,284
2022-05-13,1.735,1.78,1.585,1.78,32396
2022-05-16,1.8,1.8,1.79,1.79,1172
2022-05-17,1.8,1.83,1.67,1.67,16081
2022-05-18,1.67,1.76,1.63,1.685,10160
2022-05-19,1.7,1.7,1.65,1.65,3115
2022-05-20,1.61,1.7,1.61,1.69,1307
2022-05-23,1.695,1.695,1.62,1.69,1861
2022-05-24,1.695,1.695,1.695,1.695,1
2022-05-25,1.69,1.69,1.64,1.64,620
2022-05-26,1.63,1.63,1.495,1.495,18583
2022-05-27,1.55,1.6,1.485,1.52,8166
2022-05-30,1.52,1.52,1.445,1.5,7259
2022-05-31,1.47,1.5,1.47,1.5,2368
2022-06-01,1.51,1.51,1.5,1.51,5411
2022-06-02,1.485,1.485,1.23,1.32,61078
2022-06-03,1.395,1.44,1.375,1.44,3831
2022-06-06,1.43,1.5,1.35,1.5,9284
2022-06-07,1.5,1.5,1.5,1.5,356
2022-06-08,1.5,1.5,1.42,1.42,5010
2022-06-09,1.42,1.5,1.32,1.35,17016
2022-06-10,1.43,1.43,1.32,1.42,1429
2022-06-13,1.42,1.42,1.35,1.415,4275
2022-06-14,1.34,1.42,1.34,1.415,988
2022-06-15,1.4,1.42,1.35,1.35,3192
2022-06-17,1.355,1.37,1.355,1.37,1300
2022-06-20,1.37,1.63,1.37,1.63,9619
2022-06-21,1.48,1.59,1.48,1.52,3998
2022-06-22,1.48,1.515,1.41,1.5,2101
2022-06-23,1.5,1.5,1.43,1.43,2026
2022-06-24,1.43,1.52,1.43,1.52,2224
