Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-01-04,460.65,469.638,457.651,464.649,57778.042802196
2022-01-05,469.638,492.622,462.65,487.633,220598.43390473
2022-01-06,488.623,490.622,469.638,474.636,218825.97243553
2022-01-07,460.65,472.637,458.651,469.638,47164.279455866
2022-01-10,471.637,479.635,468.638,479.635,53409.905535829
2022-01-11,480.635,480.635,474.636,475.636,72659.917372615
2022-01-12,480.635,480.635,467.648,469.638,25312.590259377
2022-01-13,479.635,479.635,451.652,452.652,111690.07907027
2022-01-14,452.652,470.637,451.652,458.651,89503.302632144
2022-01-17,456.651,457.651,451.652,457.651,15088.928477938
2022-01-18,457.651,461.65,448.653,449.653,34582.003597464
2022-01-19,451.652,453.652,444.664,449.653,21360.561328894
2022-01-20,449.653,461.65,448.653,461.65,51828.493807382
2022-01-21,455.651,456.651,448.653,448.653,51350.369325284
2022-01-24,448.653,457.651,429.668,429.668,112083.18141643
2022-01-25,437.666,441.665,433.667,439.666,49438.871657313
2022-01-26,439.666,442.665,434.667,441.665,168130.77368718
2022-01-27,440.665,445.664,433.667,443.664,453092.96501783
2022-01-28,441.665,441.665,427.679,427.679,30691.990813195
2022-01-31,431.668,439.666,431.668,431.668,47442.351853404
2022-02-01,435.667,435.667,424.679,424.679,33303.670777126
2022-02-02,430.668,441.665,424.679,432.667,79108.596318406
2022-02-03,441.665,441.665,427.679,427.679,18520.821988565
2022-02-04,429.668,438.666,427.679,438.666,36216.42912832
2022-02-07,435.667,436.666,429.668,429.668,29180.597314344
2022-02-08,435.667,435.667,419.681,419.681,50260.085464432
2022-02-09,425.679,428.668,423.68,428.668,21792.673831544
2022-02-10,437.666,437.666,423.68,424.679,81914.32680436
2022-02-11,437.666,439.666,425.679,425.679,45297.793506921
2022-02-14,444.664,444.664,424.679,428.668,159302.47519555
2022-02-15,429.668,434.667,425.679,434.667,138022.9349609
2022-02-16,434.667,434.667,421.68,421.68,32196.382489086
2022-02-17,425.679,428.668,420.68,425.679,64101.689195138
2022-02-18,428.668,434.667,426.679,431.668,63703.585546864
2022-02-21,434.667,443.664,428.668,430.668,130739.03856207
2022-02-22,422.68,442.665,422.68,430.668,44175.501312539
2022-02-23,431.668,436.666,427.679,427.679,43359.288807534
2022-02-24,438.666,438.666,422.68,428.668,91209.746913441
2022-02-25,434.667,438.666,429.668,433.667,66678.360044271
2022-02-28,438.666,438.666,423.68,423.68,41653.84478666
2022-03-01,423.68,432.667,419.681,426.679,126498.93462982
2022-03-02,428.668,431.668,425.679,429.668,62638.308196582
2022-03-03,437.666,437.666,410.683,410.683,113834.63741675
2022-03-04,406.694,424.679,406.694,420.68,169737.1919262
2022-03-07,412.683,427.679,412.683,422.68,61943.127202736
2022-03-08,432.667,443.664,432.667,439.666,551900.69010286
2022-03-09,449.653,460.65,448.653,449.653,189347.29751519
2022-03-10,451.652,461.65,447.663,458.651,68265.773335254
2022-03-11,470.637,470.637,454.652,461.65,28212.345225074
2022-03-14,462.65,462.65,449.653,450.653,50365.112808826
2022-03-15,451.652,455.651,439.666,441.665,64191.71263319
2022-03-16,446.664,447.663,436.666,436.666,61299.959750875
2022-03-17,443.664,444.664,432.667,443.664,84739.062238348
2022-03-18,442.665,449.653,438.666,447.663,431171.25759175
2022-03-21,448.653,456.651,447.663,449.653,76545.929115193
2022-03-22,447.663,462.65,447.663,452.652,97234.315439965
2022-03-23,464.649,469.638,453.652,453.652,392233.11985299
2022-03-24,455.651,455.651,435.667,445.664,141762.90868175
2022-03-25,463.649,463.649,438.666,449.653,52407.644592183
2022-03-28,449.653,458.651,449.653,453.652,140959.69956224
2022-03-29,475.636,475.636,453.652,453.652,115337.0285718
2022-03-30,459.65,485.634,456.651,472.637,1425722.1938984
